id,map_path,contourLevel,tagged_path,subunits,matched_subunits,voxels,voxels_matched,voxels_discarted,voxels_reassigned,voxels_assigned
0026,/data/ggutierrez/models/0026_resized.mrc,0.0367,/data/ggutierrez/dataset/gt/0026_resized_gt.mrc,6,6,100775,100775,0,13439,5464
0026,/data/ggutierrez/models/0026_resized.mrc,0.0367,/data/ggutierrez/dataset/gt/0026_resized_gt.mrc,6,6,100775,100775,0,13439,15772
0026,/data/ggutierrez/models/0026_resized.mrc,0.0367,/data/ggutierrez/dataset/gt/0026_resized_gt.mrc,6,6,100775,100775,0,13439,6376
0026,/data/ggutierrez/models/0026_resized.mrc,0.0367,/data/ggutierrez/dataset/gt/0026_resized_gt.mrc,6,6,100775,100775,0,13439,16190
0026,/data/ggutierrez/models/0026_resized.mrc,0.0367,/data/ggutierrez/dataset/gt/0026_resized_gt.mrc,6,6,100775,100775,0,13439,28145
0026,/data/ggutierrez/models/0026_resized.mrc,0.0367,/data/ggutierrez/dataset/gt/0026_resized_gt.mrc,6,6,100775,100775,0,13439,28828
0070,/data/ggutierrez/models/0070_resized.mrc,0.282,/data/ggutierrez/dataset/gt/0070_resized_gt.mrc,14,14,194574,192764,1810,45700,11574
0070,/data/ggutierrez/models/0070_resized.mrc,0.282,/data/ggutierrez/dataset/gt/0070_resized_gt.mrc,14,14,194574,192764,1810,45700,10508
0070,/data/ggutierrez/models/0070_resized.mrc,0.282,/data/ggutierrez/dataset/gt/0070_resized_gt.mrc,14,14,194574,192764,1810,45700,15809
0070,/data/ggutierrez/models/0070_resized.mrc,0.282,/data/ggutierrez/dataset/gt/0070_resized_gt.mrc,14,14,194574,192764,1810,45700,22164
0070,/data/ggutierrez/models/0070_resized.mrc,0.282,/data/ggutierrez/dataset/gt/0070_resized_gt.mrc,14,14,194574,192764,1810,45700,22461
0070,/data/ggutierrez/models/0070_resized.mrc,0.282,/data/ggutierrez/dataset/gt/0070_resized_gt.mrc,14,14,194574,192764,1810,45700,19117
0070,/data/ggutierrez/models/0070_resized.mrc,0.282,/data/ggutierrez/dataset/gt/0070_resized_gt.mrc,14,14,194574,192764,1810,45700,12417
0070,/data/ggutierrez/models/0070_resized.mrc,0.282,/data/ggutierrez/dataset/gt/0070_resized_gt.mrc,14,14,194574,192764,1810,45700,14150
0070,/data/ggutierrez/models/0070_resized.mrc,0.282,/data/ggutierrez/dataset/gt/0070_resized_gt.mrc,14,14,194574,192764,1810,45700,11367
0070,/data/ggutierrez/models/0070_resized.mrc,0.282,/data/ggutierrez/dataset/gt/0070_resized_gt.mrc,14,14,194574,192764,1810,45700,10632
0070,/data/ggutierrez/models/0070_resized.mrc,0.282,/data/ggutierrez/dataset/gt/0070_resized_gt.mrc,14,14,194574,192764,1810,45700,10541
0070,/data/ggutierrez/models/0070_resized.mrc,0.282,/data/ggutierrez/dataset/gt/0070_resized_gt.mrc,14,14,194574,192764,1810,45700,10228
0070,/data/ggutierrez/models/0070_resized.mrc,0.282,/data/ggutierrez/dataset/gt/0070_resized_gt.mrc,14,14,194574,192764,1810,45700,10735
0070,/data/ggutierrez/models/0070_resized.mrc,0.282,/data/ggutierrez/dataset/gt/0070_resized_gt.mrc,14,14,194574,192764,1810,45700,11061
0790,/data/ggutierrez/models/0790_resized.mrc,0.83,/data/ggutierrez/dataset/gt/0790_resized_gt.mrc,4,4,449539,413616,35923,69334,97784
0790,/data/ggutierrez/models/0790_resized.mrc,0.83,/data/ggutierrez/dataset/gt/0790_resized_gt.mrc,4,4,449539,413616,35923,69334,101212
0790,/data/ggutierrez/models/0790_resized.mrc,0.83,/data/ggutierrez/dataset/gt/0790_resized_gt.mrc,4,4,449539,413616,35923,69334,102934
0790,/data/ggutierrez/models/0790_resized.mrc,0.83,/data/ggutierrez/dataset/gt/0790_resized_gt.mrc,4,4,449539,413616,35923,69334,111686
0876,/data/ggutierrez/models/0876_resized.mrc,1.8,/data/ggutierrez/dataset/gt/0876_resized_gt.mrc,8,8,560853,551843,9010,27661,69804
0876,/data/ggutierrez/models/0876_resized.mrc,1.8,/data/ggutierrez/dataset/gt/0876_resized_gt.mrc,8,8,560853,551843,9010,27661,71034
0876,/data/ggutierrez/models/0876_resized.mrc,1.8,/data/ggutierrez/dataset/gt/0876_resized_gt.mrc,8,8,560853,551843,9010,27661,65941
0876,/data/ggutierrez/models/0876_resized.mrc,1.8,/data/ggutierrez/dataset/gt/0876_resized_gt.mrc,8,8,560853,551843,9010,27661,66422
0876,/data/ggutierrez/models/0876_resized.mrc,1.8,/data/ggutierrez/dataset/gt/0876_resized_gt.mrc,8,8,560853,551843,9010,27661,63834
0876,/data/ggutierrez/models/0876_resized.mrc,1.8,/data/ggutierrez/dataset/gt/0876_resized_gt.mrc,8,8,560853,551843,9010,27661,64089
0876,/data/ggutierrez/models/0876_resized.mrc,1.8,/data/ggutierrez/dataset/gt/0876_resized_gt.mrc,8,8,560853,551843,9010,27661,75605
0876,/data/ggutierrez/models/0876_resized.mrc,1.8,/data/ggutierrez/dataset/gt/0876_resized_gt.mrc,8,8,560853,551843,9010,27661,75114
10089,/data/ggutierrez/models/10089_resized.mrc,0.05,/data/ggutierrez/dataset/gt/10089_resized_gt.mrc,4,4,115574,115574,0,20088,66621
10089,/data/ggutierrez/models/10089_resized.mrc,0.05,/data/ggutierrez/dataset/gt/10089_resized_gt.mrc,4,4,115574,115574,0,20088,10086
10089,/data/ggutierrez/models/10089_resized.mrc,0.05,/data/ggutierrez/dataset/gt/10089_resized_gt.mrc,4,4,115574,115574,0,20088,2829
10089,/data/ggutierrez/models/10089_resized.mrc,0.05,/data/ggutierrez/dataset/gt/10089_resized_gt.mrc,4,4,115574,115574,0,20088,36038
10188,/data/ggutierrez/models/10188_resized.mrc,0.03,/data/ggutierrez/dataset/gt/10188_resized_gt.mrc,2,2,37593,37593,0,3473,18803
10188,/data/ggutierrez/models/10188_resized.mrc,0.03,/data/ggutierrez/dataset/gt/10188_resized_gt.mrc,2,2,37593,37593,0,3473,18790
10246,/data/ggutierrez/models/10246_resized.mrc,0.0345,/data/ggutierrez/dataset/gt/10246_resized_gt.mrc,6,6,85368,85368,0,16800,13487
10246,/data/ggutierrez/models/10246_resized.mrc,0.0345,/data/ggutierrez/dataset/gt/10246_resized_gt.mrc,6,6,85368,85368,0,16800,14673
10246,/data/ggutierrez/models/10246_resized.mrc,0.0345,/data/ggutierrez/dataset/gt/10246_resized_gt.mrc,6,6,85368,85368,0,16800,14627
10246,/data/ggutierrez/models/10246_resized.mrc,0.0345,/data/ggutierrez/dataset/gt/10246_resized_gt.mrc,6,6,85368,85368,0,16800,13678
10246,/data/ggutierrez/models/10246_resized.mrc,0.0345,/data/ggutierrez/dataset/gt/10246_resized_gt.mrc,6,6,85368,85368,0,16800,14472
10246,/data/ggutierrez/models/10246_resized.mrc,0.0345,/data/ggutierrez/dataset/gt/10246_resized_gt.mrc,6,6,85368,85368,0,16800,14431
10247,/data/ggutierrez/models/10247_resized.mrc,0.0286,/data/ggutierrez/dataset/gt/10247_resized_gt.mrc,5,5,149768,143307,6461,42589,71743
10247,/data/ggutierrez/models/10247_resized.mrc,0.0286,/data/ggutierrez/dataset/gt/10247_resized_gt.mrc,5,5,149768,143307,6461,42589,35702
10247,/data/ggutierrez/models/10247_resized.mrc,0.0286,/data/ggutierrez/dataset/gt/10247_resized_gt.mrc,5,5,149768,143307,6461,42589,3935
10247,/data/ggutierrez/models/10247_resized.mrc,0.0286,/data/ggutierrez/dataset/gt/10247_resized_gt.mrc,5,5,149768,143307,6461,42589,21469
10247,/data/ggutierrez/models/10247_resized.mrc,0.0286,/data/ggutierrez/dataset/gt/10247_resized_gt.mrc,5,5,149768,143307,6461,42589,10458
10249,/data/ggutierrez/models/10249_resized.mrc,0.012,/data/ggutierrez/dataset/gt/10249_resized_gt.mrc,5,5,247824,240596,7228,56328,127558
10249,/data/ggutierrez/models/10249_resized.mrc,0.012,/data/ggutierrez/dataset/gt/10249_resized_gt.mrc,5,5,247824,240596,7228,56328,55737
10249,/data/ggutierrez/models/10249_resized.mrc,0.012,/data/ggutierrez/dataset/gt/10249_resized_gt.mrc,5,5,247824,240596,7228,56328,5704
10249,/data/ggutierrez/models/10249_resized.mrc,0.012,/data/ggutierrez/dataset/gt/10249_resized_gt.mrc,5,5,247824,240596,7228,56328,31893
10249,/data/ggutierrez/models/10249_resized.mrc,0.012,/data/ggutierrez/dataset/gt/10249_resized_gt.mrc,5,5,247824,240596,7228,56328,19704
10250,/data/ggutierrez/models/10250_resized.mrc,0.0127,/data/ggutierrez/dataset/gt/10250_resized_gt.mrc,5,5,220721,210969,9752,54835,112555
10250,/data/ggutierrez/models/10250_resized.mrc,0.0127,/data/ggutierrez/dataset/gt/10250_resized_gt.mrc,5,5,220721,210969,9752,54835,47113
10250,/data/ggutierrez/models/10250_resized.mrc,0.0127,/data/ggutierrez/dataset/gt/10250_resized_gt.mrc,5,5,220721,210969,9752,54835,4967
10250,/data/ggutierrez/models/10250_resized.mrc,0.0127,/data/ggutierrez/dataset/gt/10250_resized_gt.mrc,5,5,220721,210969,9752,54835,33191
10250,/data/ggutierrez/models/10250_resized.mrc,0.0127,/data/ggutierrez/dataset/gt/10250_resized_gt.mrc,5,5,220721,210969,9752,54835,13143
10251,/data/ggutierrez/models/10251_resized.mrc,0.0119,/data/ggutierrez/dataset/gt/10251_resized_gt.mrc,5,5,250964,241457,9507,57603,126091
10251,/data/ggutierrez/models/10251_resized.mrc,0.0119,/data/ggutierrez/dataset/gt/10251_resized_gt.mrc,5,5,250964,241457,9507,57603,54767
10251,/data/ggutierrez/models/10251_resized.mrc,0.0119,/data/ggutierrez/dataset/gt/10251_resized_gt.mrc,5,5,250964,241457,9507,57603,7622
10251,/data/ggutierrez/models/10251_resized.mrc,0.0119,/data/ggutierrez/dataset/gt/10251_resized_gt.mrc,5,5,250964,241457,9507,57603,32466
10251,/data/ggutierrez/models/10251_resized.mrc,0.0119,/data/ggutierrez/dataset/gt/10251_resized_gt.mrc,5,5,250964,241457,9507,57603,20511
10252,/data/ggutierrez/models/10252_resized.mrc,0.0111,/data/ggutierrez/dataset/gt/10252_resized_gt.mrc,5,5,280367,270830,9537,66554,140975
10252,/data/ggutierrez/models/10252_resized.mrc,0.0111,/data/ggutierrez/dataset/gt/10252_resized_gt.mrc,5,5,280367,270830,9537,66554,62550
10252,/data/ggutierrez/models/10252_resized.mrc,0.0111,/data/ggutierrez/dataset/gt/10252_resized_gt.mrc,5,5,280367,270830,9537,66554,8282
10252,/data/ggutierrez/models/10252_resized.mrc,0.0111,/data/ggutierrez/dataset/gt/10252_resized_gt.mrc,5,5,280367,270830,9537,66554,35884
