id,map_path,contourLevel,gt_path,gt_subunits,matched_subunits,step,sigma,voxels,voxels_assigned,euler_segments,iou,proportion,consistency,homogenity,label
emd-0044,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044.mrc,5.45,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044_gt.mrc,3,12,4,1.6562856164376223,248250,"{1: 3456, 2: 9885, 3: 9326, 4: 3575, 5: 5357, 6: 5784, 7: 11070, 8: 26714, 9: 15672, 10: 6094, 11: 11677, 12: 2056}","{1: 1, 2: 0, 3: 1, 4: 1, 5: 1, 6: 0, 7: -5, 8: -2, 9: -8, 10: 0, 11: -1, 12: 1}",0.0,6.0,0.0,1.2243936306932167e+20,bad
emd-0044,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044.mrc,5.45,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044_gt.mrc,3,2,4,2.5505238983899843,248250,"{1: 40746, 2: 69920}","{1: -1, 2: -43}",0.007136048592741156,1.6666666666666667,0.02667166025460846,1.3968664844227488e+19,bad
emd-0044,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044.mrc,5.45,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044_gt.mrc,3,37,3,1.9833887293785133,248250,"{1: 89, 2: 86, 3: 3456, 4: 4142, 5: 4533, 6: 2604, 7: 538, 8: 5533, 9: 2799, 10: 779, 11: 431, 12: 2068, 13: 7627, 14: 1730, 15: 3548, 16: 4469, 17: 1679, 18: 3551, 19: 435, 20: 5188, 21: 3025, 22: 802, 23: 2645, 24: 3472, 25: 2985, 26: 2481, 27: 5280, 28: 675, 29: 3920, 30: 5965, 31: 4863, 32: 1656, 33: 2378, 34: 1160, 35: 1217, 36: 6909, 37: 5948}","{1: 1, 2: 1, 3: 1, 4: 0, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: 1, 13: -3, 14: 1, 15: 1, 16: 1, 17: 1, 18: 1, 19: 1, 20: 1, 21: 1, 22: 1, 23: 1, 24: 1, 25: -1, 26: 1, 27: 1, 28: 1, 29: 1, 30: 0, 31: 1, 32: 1, 33: -1, 34: 1, 35: 1, 36: 0, 37: 1}",0.0005862211386013297,15.333333333333334,0.0005872774351992738,5.623794974685118e+19,bad
emd-0044,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044.mrc,5.45,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044_gt.mrc,3,38,3,2.063656611371918,248250,"{1: 89, 2: 86, 3: 3879, 4: 4142, 5: 4533, 6: 2181, 7: 538, 8: 5533, 9: 2484, 10: 779, 11: 431, 12: 2068, 13: 7418, 14: 1730, 15: 3757, 16: 4469, 17: 1679, 18: 4298, 19: 1240, 20: 5188, 21: 2278, 22: 802, 23: 2164, 24: 3472, 25: 2019, 26: 2481, 27: 494, 28: 3920, 29: 5208, 30: 7120, 31: 4759, 32: 1057, 33: 1397, 34: 1295, 35: 6153, 36: 1155, 37: 2107, 38: 6263}","{1: 1, 2: 1, 3: 1, 4: 0, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: 1, 13: -2, 14: 1, 15: 1, 16: 1, 17: 1, 18: 1, 19: 1, 20: 1, 21: 1, 22: 1, 23: 1, 24: 1, 25: 1, 26: 1, 27: 1, 28: 1, 29: 1, 30: 0, 31: 1, 32: 1, 33: 1, 34: 1, 35: 0, 36: 1, 37: 0, 38: 1}",0.0005862211386013297,15.333333333333334,0.0005872774351992738,5.687295729431042e+19,bad
emd-0044,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044.mrc,5.45,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044_gt.mrc,3,44,3,1.8434806022263321,248250,"{1: 1826, 2: 3456, 3: 1305, 4: 754, 5: 1429, 6: 2685, 7: 752, 8: 4299, 9: 867, 10: 6020, 11: 247, 12: 1198, 13: 1072, 14: 2677, 15: 884, 16: 3775, 17: 6954, 18: 1623, 19: 138, 20: 2683, 21: 6669, 22: 1730, 23: 813, 24: 200, 25: 1047, 26: 2395, 27: 1091, 28: 2330, 29: 1472, 30: 6636, 31: 445, 32: 3033, 33: 7513, 34: 3288, 35: 2470, 36: 957, 37: 4233, 38: 2271, 40: 3515, 41: 1037, 42: 2590, 43: 4951, 44: 150, 45: 5186}","{1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 0, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: 1, 13: 1, 14: 1, 15: 1, 16: 1, 17: 1, 18: 1, 19: 1, 20: 1, 21: -3, 22: 1, 23: 1, 24: 1, 25: 1, 26: -1, 27: 1, 28: 1, 29: 1, 30: 1, 31: 1, 32: 1, 33: 0, 34: 1, 35: 1, 36: 1, 37: 0, 38: 0, 40: -1, 41: 1, 42: 1, 43: 1, 44: 1, 45: 1}",0.026731707832857193,19.0,0.028436717255889924,1.5927730682133654e+19,bad
emd-0044,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044.mrc,5.45,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044_gt.mrc,3,28,3,2.364014885822656,248250,"{1: 3879, 2: 4142, 3: 4533, 4: 4938, 5: 5247, 6: 3412, 7: 68, 8: 1210, 9: 4604, 10: 5919, 11: 1730, 12: 1550, 13: 9591, 14: 5066, 15: 4214, 16: 9798, 17: 4917, 18: 242, 19: 4862, 20: 762, 21: 7812, 22: 3688, 23: 1675, 24: 8924, 25: 3017, 26: 1677, 27: 2978, 28: 211}","{1: 1, 2: 0, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 0, 10: 1, 11: 1, 12: 1, 13: 0, 14: 1, 15: 1, 16: 0, 17: 0, 18: 1, 19: 1, 20: 1, 21: -3, 22: -3, 23: 1, 24: 0, 25: 1, 26: 1, 27: -1, 28: 1}",0.0,12.0,0.0,1.0725772872545573e+20,bad
emd-0044,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044.mrc,5.45,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044_gt.mrc,3,49,3,1.697587683150934,248250,"{1: 3456, 2: 1114, 3: 923, 4: 1526, 5: 2871, 6: 752, 7: 3111, 8: 656, 9: 1297, 10: 5071, 11: 2525, 12: 1321, 13: 1072, 14: 989, 15: 2123, 16: 138, 17: 1246, 18: 1082, 19: 1110, 20: 7548, 21: 895, 22: 10175, 23: 1730, 24: 1685, 25: 1090, 26: 1255, 27: 662, 28: 5755, 29: 3294, 30: 5013, 31: 229, 32: 734, 33: 2834, 34: 6395, 35: 1058, 36: 2925, 37: 3241, 38: 146, 39: 735, 40: 812, 41: 524, 42: 1110, 43: 1769, 44: 143, 45: 1046, 46: 5110, 47: 2362, 48: 3126, 49: 4882}","{1: 1, 2: 1, 3: 1, 4: 1, 5: 0, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: 1, 13: 1, 14: 1, 15: 1, 16: 1, 17: 1, 18: 1, 19: 1, 20: 1, 21: 1, 22: -3, 23: 1, 24: 1, 25: 1, 26: 1, 27: 1, 28: 0, 29: 0, 30: 1, 31: 1, 32: 1, 33: 1, 34: 0, 35: 1, 36: 1, 37: 1, 38: 1, 39: 1, 40: 1, 41: 1, 42: 1, 43: 0, 44: 1, 45: 1, 46: 0, 47: 1, 48: 1, 49: 1}",0.0,20.333333333333332,0.0,9.665775640250137e+19,bad
emd-0044,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044.mrc,5.45,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044_gt.mrc,3,35,3,1.9300909056116808,248250,"{1: 89, 2: 86, 3: 3456, 4: 4142, 5: 4533, 6: 2604, 7: 538, 8: 5659, 9: 2799, 10: 1210, 11: 1942, 12: 7879, 13: 1730, 14: 3471, 15: 4469, 16: 1766, 17: 4528, 18: 435, 19: 5188, 20: 2048, 21: 1088, 22: 1198, 23: 3472, 24: 2481, 25: 675, 26: 5581, 27: 4907, 28: 6228, 29: 5026, 30: 1057, 31: 2378, 32: 771, 33: 1663, 34: 9621, 35: 5948}","{1: 1, 2: 1, 3: 1, 4: 0, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: -3, 13: 1, 14: 1, 15: 1, 16: 1, 17: 1, 18: 1, 19: 1, 20: 1, 21: 1, 22: 1, 23: 1, 24: 1, 25: 1, 26: 1, 27: 1, 28: 0, 29: 0, 30: 1, 31: -1, 32: 1, 33: 1, 34: -5, 35: 1}",0.0005862211386013297,14.333333333333334,0.0005872774351992738,5.623794974685118e+19,bad
emd-0044,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044.mrc,5.45,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044_gt.mrc,3,26,3,2.2666948999273067,248250,"{1: 3879, 2: 4142, 3: 4533, 4: 4996, 5: 5247, 6: 3889, 7: 1210, 8: 10582, 9: 1730, 10: 1550, 11: 9591, 12: 5360, 13: 4378, 14: 8873, 15: 4815, 16: 407, 17: 4862, 18: 762, 19: 7619, 20: 3715, 21: 1616, 22: 10437, 23: 3085, 24: 164, 25: 3013, 26: 211}","{1: 1, 2: 0, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: -4, 9: 1, 10: 1, 11: 0, 12: 1, 13: 1, 14: 0, 15: 0, 16: 1, 17: 1, 18: 1, 19: -2, 20: -3, 21: 1, 22: -1, 23: 1, 24: 1, 25: -1, 26: 1}",0.0,11.0,0.0,1.0725772872545573e+20,bad
emd-0044,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044.mrc,5.45,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044_gt.mrc,3,2,4,2.540411077580166,248250,"{1: 40746, 2: 69920}","{1: -1, 2: -43}",0.007136048592741156,1.6666666666666667,0.02667166025460846,1.3968664844227488e+19,bad
