100d,2,"[38, 38, 38]",True
101d,2,"[52, 52, 52]",True
101m,1,"[64, 64, 64]",True
102d,2,"[52, 52, 52]",True
102l,1,"[62, 62, 62]",True
102m,1,"[64, 64, 64]",True
103d,2,"[58, 58, 58]",True
103l,1,"[62, 62, 62]",True
103m,1,"[64, 64, 64]",True
104d,2,"[46, 46, 46]",True
104l,2,"[76, 76, 76]",True
104m,1,"[54, 54, 54]",True
105m,1,"[54, 54, 54]",True
106m,1,"[64, 64, 64]",True
107d,2,"[38, 38, 38]",True
107l,1,"[62, 62, 62]",True
107m,1,"[64, 64, 64]",True
108l,1,"[62, 62, 62]",True
108m,1,"[66, 66, 66]",True
109d,2,"[54, 54, 54]",True
109l,1,"[62, 62, 62]",True
