path,id,fitted_entries,method,resolution,contourLevel,pdb_rsync,emdb_rsync,map_found,pdb_found,map_path,pdb_path,subunit_count
/work/mzumbado/biostructure/em/dataset/header/emd-0026-v19.xml,emd-0026,6gl7,singleParticle,6.3,0.0367,rsync.rcsb.org::ftp_data/structures/all/pdb/pdb6gl7.ent.gz,rsync.rcsb.org::emdb/structures/EMD-0026/map/emd_0026.map.gz,True,True,/work/mzumbado/biostructure/em/dataset/models/emd_0026.map,/work/mzumbado/biostructure/em/dataset/models/pdb6gl7.ent,6
/work/mzumbado/biostructure/em/dataset/header/emd-0009-v19.xml,emd-0009,6gj1,singleParticle,4.7,4.5,rsync.rcsb.org::ftp_data/structures/all/pdb/pdb6gj1.ent.gz,rsync.rcsb.org::emdb/structures/EMD-0009/map/emd_0009.map.gz,True,True,/work/mzumbado/biostructure/em/dataset/models/emd_0009.map,/work/mzumbado/biostructure/em/dataset/models/pdb6gj1.ent,4
/work/mzumbado/biostructure/em/dataset/header/emd-0013-v19.xml,emd-0013,6gk2,helical,4.9,2.0,rsync.rcsb.org::ftp_data/structures/all/pdb/pdb6gk2.ent.gz,rsync.rcsb.org::emdb/structures/EMD-0013/map/emd_0013.map.gz,True,True,/work/mzumbado/biostructure/em/dataset/models/emd_0013.map,/work/mzumbado/biostructure/em/dataset/models/pdb6gk2.ent,2
/work/mzumbado/biostructure/em/dataset/header/emd-0044-v19.xml,emd-0044,6gni,subtomogramAveraging,4.9,5.45,rsync.rcsb.org::ftp_data/structures/all/pdb/pdb6gni.ent.gz,rsync.rcsb.org::emdb/structures/EMD-0044/map/emd_0044.map.gz,True,True,/work/mzumbado/biostructure/em/dataset/models/emd_0044.map,/work/mzumbado/biostructure/em/dataset/models/pdb6gni.ent,3
/work/mzumbado/biostructure/em/dataset/header/emd-0070-v19.xml,emd-0070,6gv9,helical,8.0,0.282,rsync.rcsb.org::ftp_data/structures/all/pdb/pdb6gv9.ent.gz,rsync.rcsb.org::emdb/structures/EMD-0070/map/emd_0070.map.gz,True,True,/work/mzumbado/biostructure/em/dataset/models/emd_0070.map,/work/mzumbado/biostructure/em/dataset/models/pdb6gv9.ent,14
/work/mzumbado/biostructure/em/dataset/header/emd-0090-v19.xml,emd-0090,6gyk,singleParticle,5.1,0.003,rsync.rcsb.org::ftp_data/structures/all/pdb/pdb6gyk.ent.gz,rsync.rcsb.org::emdb/structures/EMD-0090/map/emd_0090.map.gz,True,True,/work/mzumbado/biostructure/em/dataset/models/emd_0090.map,/work/mzumbado/biostructure/em/dataset/models/pdb6gyk.ent,20
/work/mzumbado/biostructure/em/dataset/header/emd-0091-v19.xml,emd-0091,6gyl,singleParticle,4.8,0.0028,rsync.rcsb.org::ftp_data/structures/all/pdb/pdb6gyl.ent.gz,rsync.rcsb.org::emdb/structures/EMD-0091/map/emd_0091.map.gz,True,True,/work/mzumbado/biostructure/em/dataset/models/emd_0091.map,/work/mzumbado/biostructure/em/dataset/models/pdb6gyl.ent,22
/work/mzumbado/biostructure/em/dataset/header/emd-0092-v19.xml,emd-0092,6gym,singleParticle,6.7,0.0057,rsync.rcsb.org::ftp_data/structures/all/pdb/pdb6gym.ent.gz,rsync.rcsb.org::emdb/structures/EMD-0092/map/emd_0092.map.gz,True,True,/work/mzumbado/biostructure/em/dataset/models/emd_0092.map,/work/mzumbado/biostructure/em/dataset/models/pdb6gym.ent,31
/work/mzumbado/biostructure/em/dataset/header/emd-0107-v19.xml,emd-0107,6h04,singleParticle,5.6,0.06,rsync.rcsb.org::ftp_data/structures/all/pdb/pdb6h04.ent.gz,rsync.rcsb.org::emdb/structures/EMD-0107/map/emd_0107.map.gz,True,True,/work/mzumbado/biostructure/em/dataset/models/emd_0107.map,/work/mzumbado/biostructure/em/dataset/models/pdb6h04.ent,43
/work/mzumbado/biostructure/em/dataset/header/emd-0147-v19.xml,emd-0147,6h68,singleParticle,4.6,0.0239,rsync.rcsb.org::ftp_data/structures/all/pdb/pdb6h68.ent.gz,rsync.rcsb.org::emdb/structures/EMD-0147/map/emd_0147.map.gz,True,True,/work/mzumbado/biostructure/em/dataset/models/emd_0147.map,/work/mzumbado/biostructure/em/dataset/models/pdb6h68.ent,17
/work/mzumbado/biostructure/em/dataset/header/emd-0201-v19.xml,emd-0201,6hd5,singleParticle,4.8,0.0331,rsync.rcsb.org::ftp_data/structures/all/pdb/pdb6hd5.ent.gz,rsync.rcsb.org::emdb/structures/EMD-0201/map/emd_0201.map.gz,True,True,/work/mzumbado/biostructure/em/dataset/models/emd_0201.map,/work/mzumbado/biostructure/em/dataset/models/pdb6hd5.ent,3
/work/mzumbado/biostructure/em/dataset/header/emd-0204-v19.xml,emd-0204,6hdd,singleParticle,4.5,0.09,rsync.rcsb.org::ftp_data/structures/all/pdb/pdb6hdd.ent.gz,rsync.rcsb.org::emdb/structures/EMD-0204/map/emd_0204.map.gz,True,True,/work/mzumbado/biostructure/em/dataset/models/emd_0204.map,/work/mzumbado/biostructure/em/dataset/models/pdb6hdd.ent,7
/work/mzumbado/biostructure/em/dataset/header/emd-0209-v19.xml,emd-0209,6he4,singleParticle,4.85,0.022,rsync.rcsb.org::ftp_data/structures/all/pdb/pdb6he4.ent.gz,rsync.rcsb.org::emdb/structures/EMD-0209/map/emd_0209.map.gz,True,True,/work/mzumbado/biostructure/em/dataset/models/emd_0209.map,/work/mzumbado/biostructure/em/dataset/models/pdb6he4.ent,6
/work/mzumbado/biostructure/em/dataset/header/emd-0212-v19.xml,emd-0212,6he8,singleParticle,6.86,0.006,rsync.rcsb.org::ftp_data/structures/all/pdb/pdb6he8.ent.gz,rsync.rcsb.org::emdb/structures/EMD-0212/map/emd_0212.map.gz,True,True,/work/mzumbado/biostructure/em/dataset/models/emd_0212.map,/work/mzumbado/biostructure/em/dataset/models/pdb6he8.ent,34
