id,fitted_entries,resolution,contourLevel,chain_id,chain_label,segment_overlap,segment_volume
0026,6gl7,6.3,0.0367,B,1.0,0.17,32180
0026,6gl7,6.3,0.0367,D,2.0,0.21,75609
0026,6gl7,6.3,0.0367,A,3.0,0.18,32328
0026,6gl7,6.3,0.0367,C,4.0,0.21,76728
0026,6gl7,6.3,0.0367,F,5.0,0.21,118674
0026,6gl7,6.3,0.0367,E,6.0,0.22,118628
0070,6gv9,8.0,0.282,A,1.0,0.29,41558
0070,6gv9,8.0,0.282,B,2.0,0.28,48749
0070,6gv9,8.0,0.282,C,3.0,0.27,50347
0070,6gv9,8.0,0.282,D,4.0,0.26,50360
0070,6gv9,8.0,0.282,E,5.0,0.28,50348
0070,6gv9,8.0,0.282,F,6.0,0.28,50344
0070,6gv9,8.0,0.282,G,7.0,0.27,50320
0070,6gv9,8.0,0.282,H,8.0,0.27,50339
0070,6gv9,8.0,0.282,I,9.0,0.28,50410
0070,6gv9,8.0,0.282,J,10.0,0.27,50338
0070,6gv9,8.0,0.282,K,11.0,0.27,50333
0070,6gv9,8.0,0.282,L,12.0,0.27,50345
0070,6gv9,8.0,0.282,M,13.0,0.29,49329
0070,6gv9,8.0,0.282,N,14.0,0.28,45354
0790,6kzm,9.6,0.83,A,1.0,0.35,287169
0790,6kzm,9.6,0.83,B,2.0,0.35,290743
0790,6kzm,9.6,0.83,C,3.0,0.37,286384
0790,6kzm,9.6,0.83,D,4.0,0.37,287028
0876,6lfg,9.58,1.8,D,1.0,0.34,212773
0876,6lfg,9.58,1.8,A,2.0,0.35,212881
0876,6lfg,9.58,1.8,B,3.0,0.34,211944
0876,6lfg,9.58,1.8,C,4.0,0.35,212234
0876,6lfg,9.58,1.8,E,5.0,0.35,212196
0876,6lfg,9.58,1.8,F,6.0,0.35,212088
0876,6lfg,9.58,1.8,G,7.0,0.34,212733
0876,6lfg,9.58,1.8,H,8.0,0.34,212771
10089,6s2f,5.8,0.05,A,1.0,0.27,239097
10089,6s2f,5.8,0.05,D,2.0,0.37,36776
10089,6s2f,5.8,0.05,E,3.0,0.45,10528
